playerID,short_name,long_name,nationality,team_position
190871,Neymar Jr,Neymar da Silva Santos Junior,Brazil,CAM
200389,J. Oblak,Jan Oblak,Slovenia,GK
192985,K. De Bruyne,Kevin De Bruyne,Belgium,RCM
231747,K. Mbappé,Kylian Mbappé,France,RW
153079,S. Agüero,Sergio Leonel Agüero del Castillo,Argentina,ST
188545,R. Lewandowski,Robert Lewandowski,Poland,ST
210257,Ederson,Ederson Santana de Moraes,Brazil,GK
202652,R. Sterling,Raheem Sterling,England,LW
167495,M. Neuer,Manuel Neuer,Germany,GK
168542,David Silva,David Josué Jiménez Silva,Spain,LCM
179813,E. Cavani,Edinson Roberto Cavani Gómez,Uruguay,ST
212218,A. Laporte,Aymeric  Laporte,France,LCB
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,RW
135507,Fernandinho,Fernando Luiz Rosa,Brazil,CDM
164240,Thiago Silva,Thiago Emiliano da Silva,Brazil,LCB
189509,Thiago,Thiago Alcântara do Nascimento,Spain,CDM
222492,L. Sané,Leroy Sané,Germany,SUB
207865,Marquinhos,Marcos  Aoás Corrêa,Brazil,RCB
199556,M. Verratti,Marco Verratti,Italy,RCM
212622,J. Kimmich,Joshua Kimmich,Germany,RB
183898,A. Di María,Ángel Fabián Di María Hernández,Argentina,LW
189242,Coutinho,Philippe Coutinho Correia,Brazil,LCM
189596,T. Müller,Thomas Müller,Germany,SUB
212190,N. Süle,Niklas Süle,Germany,RCB
231866,Rodri,Rodrigo Hernández Cascante,Spain,SUB
208421,Saúl,Saúl Ñíguez Esclápez,Spain,LCM
216460,J. Giménez,José María Giménez de Vargas,Uruguay,RCB
199482,A. Lopes,Anthony Lopes,Portugal,GK
185122,P. Gulácsi,Péter Gulácsi,Hungary,GK
197445,D. Alaba,David Olatukunbo Alaba,Austria,LB
143076,A. Gómez,Alejandro Darío Gómez,Argentina,CAM
193747,Koke,Jorge Resurrección Merodio,Spain,RM
210514,João Cancelo,João Pedro Cavaco Cancelo,Portugal,SUB
220814,L. Hernández,Lucas Hernández,France,LCB
202556,M. Depay,Memphis Depay,Netherlands,LW
209658,L. Goretzka,Leon Goretzka,Germany,SUB
213345,K. Coman,Kingsley Coman,France,LW
206113,S. Gnabry,Serge Gnabry,Germany,RW
177610,Javi Martínez,Javier Martínez Aginaga,Spain,SUB
181458,I. Perišić,Ivan Perišić,Croatia,SUB
183907,J. Boateng,Jérôme Boateng,Germany,SUB
186942,I. Gündoğan,İlkay Gündoğan,Germany,SUB
188377,K. Walker,Kyle Walker,England,RB
200647,J. Iličić,Josip Iličić,Slovenia,RS
204485,R. Mahrez,Riyad Mahrez,Algeria,SUB
207863,Felipe,Felipe Augusto de Almeida Monteiro,Brazil,LCB
219683,C. Tolisso,Corentin Tolisso,France,RCM
203574,J. Stones,John Stones,England,RCB
212188,T. Werner,Timo Werner,Germany,LS
213565,T. Lemar,Thomas Lemar,France,LM
202166,J. Draxler,Julian Draxler,Germany,SUB
201153,Morata,Álvaro Borja Morata Martín,Spain,LS
198950,Pablo Sarabia,Pablo Sarabia García,Spain,SUB
179844,Diego Costa,Diego da Silva Costa,Spain,SUB
192366,N. Otamendi,Nicolás Hernán Otamendi,Argentina,SUB
193474,I. Gueye,Idrissa Gana Gueye,Senegal,SUB
195365,K. Kampl,Kevin Kampl,Slovenia,CM
230666,Gabriel Jesus,Gabriel Fernando de Jesus,Brazil,SUB
225850,P. Kimpembe,Presnel Kimpembe,France,SUB
193105,A. Areola,Alphonse Areola,France,GK
214997,A. Correa,Ángel Correa,Argentina,SUB
209989,T. Partey,Thomas Partey,Ghana,RCM
204639,S. Savić,Stefan Savić,Montenegro,SUB
208448,E. Forsberg,Emil Forsberg,Sweden,LCM
156519,H. Herrera,Héctor Miguel Herrera López,Mexico,SUB
191740,Ander Herrera,Ander Herrera Agüera,Spain,LCM
202371,T. Meunier,Thomas Meunier,Belgium,SUB
215333,D. Zapata,Duván Zapata,Colombia,LS
234906,H. Aouar,Houssem Aouar,France,LCM
204923,M. Sabitzer,Marcel Sabitzer,Austria,RCM
204638,W. Orban,Willi Orban,Hungary,LCB
207791,Y. Poulsen,Yussuf Yurary Poulsen,Denmark,RS
213874,Thiago Mendes,Thiago Henrique Mendes Ribeiro,Brazil,RCM
178086,Adán,Antonio Adán Garrido,Spain,SUB
242444,João Félix,João Félix Sequeira,Portugal,RS
229668,Mario Hermoso,Mario Hermoso Canseco,Spain,SUB
226161,Marcos Llorente,Marcos Llorente Moreno,Spain,SUB
204884,B. Mendy,Benjamin Mendy,France,SUB
211591,M. Dembélé,Moussa Dembélé,France,ST
207439,L. Paredes,Leandro Paredes,Argentina,SUB
205069,Bernat,Juan Bernat Velasco,Spain,LB
210665,M. Halstenberg,Marcel Halstenberg,Germany,LWB
186345,K. Trippier,Kieran Trippier,England,RB
199110,L. Muriel,Luis Fernando Muriel Fruto,Colombia,SUB
203890,S. Vrsaljko,Šime Vrsaljko,Croatia,SUB
237678,I. Konaté,Ibrahima Konaté,France,CB
226229,T. Kehrer,Thilo Kehrer,Germany,RB
220182,J. Denayer,Jason Denayer,Belgium,LCB
222331,L. Klostermann,Lukas Klostermann,Germany,RWB
225711,A. Diallo,Abdou Diallo,France,SUB
226851,B. Pavard,Benjamin Pavard,France,SUB
220651,Angeliño,José Ángel Esmoris Tasende,Spain,SUB
216643,L. Dubois,Léo Dubois,France,RB
231969,R. Malinovskyi,Ruslan Malinovskyi,Ukraine,SUB
204259,S. Arias,Santiago Arias Naranjo,Colombia,SUB
166706,M. Škrtel,Martin Škrtel,Slovakia,SUB
185431,N. Kalinić,Nikola Kalinić,Croatia,SUB
186569,S. Ulreich,Sven Ulreich,Germany,SUB
199715,Vitolo,Víctor Machín Pérez,Spain,SUB
201325,C. Tătărușanu,Anton Ciprian Tătărușanu,Romania,SUB
224221,J. Andersen,Joachim Andersen,Denmark,RCB
227813,O. Zinchenko,Oleksandr Zinchenko,Ukraine,LB
227234,L. Tousart,Lucas Tousart,France,CDM
207948,B. Traoré,Bertrand Traoré,Burkina Faso,RW
220093,H. Hateboer,Hans Hateboer,Netherlands,RM
187598,Rafael Tolói,Rafael Tolói,Brazil,CB
202024,R. Freuler,Remo Freuler,Switzerland,RCM
202325,D. Demme,Diego Demme,Germany,SUB
169115,A. Masiello,Andrea Masiello,Italy,LCB
180334,Marcelo,Marcelo Antônio Guedes Filho,Brazil,SUB
189681,Rafael,Rafael Pereira da Silva,Brazil,SUB
208461,M. de Roon,Marten de Roon,Netherlands,LCM
229558,D. Upamecano,Dayotchanculle Upamecano,France,SUB
226166,N. Mukiele,Nordi Mukiele,France,RCB
232411,C. Nkunku,Christopher Nkunku,France,SUB
251573,Renan Lodi,Renan Augusto Lodi dos Santos,Brazil,LB
223273,M. Pašalić,Mario Pašalić,Croatia,SUB
225375,K. Laimer,Konrad Laimer,Austria,SUB
216266,K. Tete,Kenny Tete,Netherlands,SUB
201510,L. Kurzawa,Layvin Kurzawa,France,SUB
174543,C. Bravo,Claudio Andrés Bravo Muñoz,Chile,SUB
207707,Marçal,Fernando Marçal de Oliveira,Brazil,SUB
216065,M. Sportiello,Marco Sportiello,Italy,SUB
217196,J. Palomino,José Luis Palomino,Argentina,RCB
237692,P. Foden,Philip Foden,England,SUB
230899,A. Lookman,Ademola Lookman,England,SUB
232999,T. Adams,Tyler Adams,United States,SUB
222501,T. Castagne,Timothy Castagne,Belgium,LM
211515,P. Gollini,Pierluigi Gollini,Italy,GK
236786,M. Terrier,Martin Terrier,France,SUB
238463,A. Haidara,Amadou Haidara,Mali,SUB
225713,J. Augustin,Jean-Kévin Augustin,France,SUB
206003,Y. Mvogo,Yvon Mvogo,Switzerland,SUB
215798,M. Cornet,Maxwel Cornet,Ivory Coast,SUB
223697,R. Gosens,Robin Gosens,Germany,SUB
183569,E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,Cameroon,SUB
230767,Renato Sanches,Renato Júnior Luz Sanches,Portugal,SUB
222160,Y. Koné,Youssouf Koné,Mali,LB
240976,M. Saracchi,Marcelo Josemir Saracchi Pintos,Uruguay,SUB
202515,Jesé,Jesé Rodríguez Ruiz,Spain,RES
228813,Aleix García,Aleix García Serrano,Spain,SUB
236935,H. Wolf,Hannes Wolf,Austria,SUB
240243,Matheus Cunha,Matheus Santos Carneiro Da Cunha,Brazil,SUB
228509,J. Reine-Adélaïde,Jeff Reine-Adélaïde,France,SUB
194665,S. Ilsanker,Stefan Ilsanker,Austria,RES
208165,B. Djimsiti,Berat  Djimsiti,Albania,SUB
158777,P. Tschauner,Philipp Tschauner,Germany,RES
181560,M. Yanga-Mbiwa,Mapou Yanga-Mbiwa,France,RES
234396,A. Davies,Alphonso Davies,Canada,SUB
239744,M. Cuisance,Mickaël Cuisance,France,SUB
241497,C. Dagba,Colin Dagba,France,SUB
157804,S. Carson,Scott  Carson,England,RES
235863,M. Varnier,Marco Varnier,Italy,RES
251217,Jean Lucas,Jean Lucas de Souza Oliveira,Brazil,SUB
242374,M. Barrow,Musa Barrow,Gambia,SUB
246646,M. Caqueret,Maxence Caqueret,France,SUB
240753,A. Gouiri,Amine Gouiri,France,SUB
244938,Montero,Francisco Montero Rubio,Spain,RES
241941,S. Nsoki,Stanley Nsoki,France,RES
239613,M. Pessina,Matteo Pessina,Italy,SUB
222355,L. Valzania,Luca Valzania,Italy,RES
232207,I. Šaponjić,Ivan Šaponjić,Serbia,SUB
235735,E. Ampadu,Ethan Ampadu,Wales,RES
239981,J. Arp,Jann-Fiete Arp,Germany,SUB
248603,L. Mbe Soh,Loïc Mbe Soh,France,RES
242238,O. Solet,Oumar Solet,France,RES
245037,Eric García,Eric García Martret,Spain,RES
245035,C. Gomes,Claudio Gomes,France,RES
239368,M. Bakker,Mitchel Bakker,Netherlands,RES
234760,A. Reca,Arkadiusz Reca,Poland,SUB
245999,Mollejo,Víctor Mollejo Carpintero,Spain,RES
248805,Sergio Camello,Sergio Camello Pérez,Spain,RES
243652,Borja Garcés,Borja Garcés Moreno,Spain,RES
247508,M. Güçlü,Metehan Güçlü,Turkey,RES
241128,J. Mejías,Josua Mejías,Venezuela,RES
248385,R. Piccoli,Roberto Piccoli,Italy,SUB
252326,J. Sanabria,Juan Manuel Sanabria,Uruguay,RES
241588,Toni Moya,Antonio Moya Vega,Spain,RES
245842,O. Ndiaye,Ousseynou Ndiaye,Senegal,RES
243080,Carlos Isaac,Carlos Isaac Muñoz Obejero,Spain,RES
247257,Ibañez,Roger Ibañez Da Silva,Brazil,SUB
222488,N. Fazzi,Nicolò Fazzi,Italy,RES
252324,Riquelme,Rodrigo Riquelme Reche,Spain,RES
247865,Luan Cândido,Luan Cândido de Almeida,Brazil,RES
241859,R. Hoffmann,Ron-Thorben Hoffmann,Germany,SUB
229194,A. Georgen,Alec Georgen,France,RES
245809,Y. Kitala,Yann Kitala,France,RES
248604,A. Zagre,Arthur Zagre,France,RES
243847,R. Griffiths,Reo Griffiths,England,RES
246863,F. Nmecha,Felix Nmecha,England,RES
246848,B. Fofana,Boubacar Fofana,France,RES
247871,M. Kapo,Maxen Kapo,France,RES
246402,M. Bidstrup,Mads Bidstrup,Denmark,RES
241495,A. Toufiqui,Azzeddine Toufiqui,France,RES
243573,A. Racioppi,Anthony Racioppi,Switzerland,SUB
235293,P. Asmah,Patrick Kojo Asmah,Ghana,RES
243239,L. Gonzalez,Lorenzo Gonzalez,Switzerland,RES
243308,Álex Dos Santos,Alejandro Dos Santos Ferreira,Brazil,RES
251392,T. Krauß,Tom Krauß,Germany,RES
252258,M. Talabidi,Malik Talabidi,Germany,RES
234401,I. Hemans,Isaac Hemans,Ghana,RES
243710,G. Innocent,Garissone Innocent,France,SUB
233047,J. Latibeaudiere,Joel Latibeaudiere,England,RES
238186,M. Bułka,Marcin Bułka,Poland,SUB
241632,B. Garré,Benjamín Garré,Argentina,RES
246401,F. Hartmann,Fabrice Hartmann,Germany,RES
194894,F. Rossi,Francesco Rossi,Italy,RES
243585,G. Bazunu,Gavin Bazunu,Republic of Ireland,RES
251451,F. Jäkel,Frederik Jäkel,Germany,RES
240473,T. Wilson,Tyreke Wilson,Republic of Ireland,RES
252298,M. Winter,Max Winter,Germany,RES
224947,D. Grimshaw,Daniel Grimshaw,England,RES
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,RW
192448,M. ter Stegen,Marc-André ter Stegen,Germany,GK
176580,L. Suárez,Luis Alberto Suárez Díaz,Uruguay,ST
189511,Sergio Busquets,Sergio Busquets i Burgos,Spain,CDM
194765,A. Griezmann,Antoine Griezmann,France,LW
152729,Piqué,Gerard Piqué Bernabéu,Spain,RCB
189332,Jordi Alba,Jordi Alba Ramos,Spain,LB
205600,S. Umtiti,Samuel Umtiti,France,SUB
168651,I. Rakitić,Ivan Rakitić,Croatia,RCM
228702,F. de Jong,Frenkie de Jong,Netherlands,LCM
220440,C. Lenglet,Clément Lenglet,France,LCB
194404,Neto,Norberto Murara Neto,Brazil,SUB
231443,O. Dembélé,Ousmane Dembélé,France,SUB
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,Brazil,SUB
181872,A. Vidal,Arturo Vidal,Chile,SUB
227928,Nélson Semedo,Nélson Cabral Semedo,Portugal,RB
199564,Sergi Roberto,Sergio Roberto Carnicer,Spain,SUB
201400,Rafinha,Rafael Alcântara do Nascimento,Brazil,SUB
241184,Junior Firpo,Héctor Junior Firpo Adamés,Spain,SUB
233113,Aleñá,Carles Aleñá Castillo,Spain,SUB
