sofifa_id,short_name,long_name,nationality,club,team_position
190871,Neymar Jr,Neymar da Silva Santos Junior,Brazil,Paris Saint-Germain,CAM
200389,J. Oblak,Jan Oblak,Slovenia,Atlético Madrid,GK
192985,K. De Bruyne,Kevin De Bruyne,Belgium,Manchester City,RCM
231747,K. Mbappé,Kylian Mbappé,France,Paris Saint-Germain,RW
153079,S. Agüero,Sergio Leonel Agüero del Castillo,Argentina,Manchester City,ST
188545,R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München,ST
210257,Ederson,Ederson Santana de Moraes,Brazil,Manchester City,GK
202652,R. Sterling,Raheem Sterling,England,Manchester City,LW
167495,M. Neuer,Manuel Neuer,Germany,FC Bayern München,GK
168542,David Silva,David Josué Jiménez Silva,Spain,Manchester City,LCM
179813,E. Cavani,Edinson Roberto Cavani Gómez,Uruguay,Paris Saint-Germain,ST
212218,A. Laporte,Aymeric  Laporte,France,Manchester City,LCB
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Manchester City,RW
135507,Fernandinho,Fernando Luiz Rosa,Brazil,Manchester City,CDM
164240,Thiago Silva,Thiago Emiliano da Silva,Brazil,Paris Saint-Germain,LCB
189509,Thiago,Thiago Alcântara do Nascimento,Spain,FC Bayern München,CDM
222492,L. Sané,Leroy Sané,Germany,Manchester City,SUB
207865,Marquinhos,Marcos  Aoás Corrêa,Brazil,Paris Saint-Germain,RCB
199556,M. Verratti,Marco Verratti,Italy,Paris Saint-Germain,RCM
212622,J. Kimmich,Joshua Kimmich,Germany,FC Bayern München,RB
183898,A. Di María,Ángel Fabián Di María Hernández,Argentina,Paris Saint-Germain,LW
189242,Coutinho,Philippe Coutinho Correia,Brazil,FC Bayern München,LCM
189596,T. Müller,Thomas Müller,Germany,FC Bayern München,SUB
212190,N. Süle,Niklas Süle,Germany,FC Bayern München,RCB
231866,Rodri,Rodrigo Hernández Cascante,Spain,Manchester City,SUB
208421,Saúl,Saúl Ñíguez Esclápez,Spain,Atlético Madrid,LCM
216460,J. Giménez,José María Giménez de Vargas,Uruguay,Atlético Madrid,RCB
199482,A. Lopes,Anthony Lopes,Portugal,Olympique Lyonnais,GK
185122,P. Gulácsi,Péter Gulácsi,Hungary,RB Leipzig,GK
197445,D. Alaba,David Olatukunbo Alaba,Austria,FC Bayern München,LB
143076,A. Gómez,Alejandro Darío Gómez,Argentina,Atalanta,CAM
193747,Koke,Jorge Resurrección Merodio,Spain,Atlético Madrid,RM
210514,João Cancelo,João Pedro Cavaco Cancelo,Portugal,Manchester City,SUB
220814,L. Hernández,Lucas Hernández,France,FC Bayern München,LCB
202556,M. Depay,Memphis Depay,Netherlands,Olympique Lyonnais,LW
209658,L. Goretzka,Leon Goretzka,Germany,FC Bayern München,SUB
213345,K. Coman,Kingsley Coman,France,FC Bayern München,LW
206113,S. Gnabry,Serge Gnabry,Germany,FC Bayern München,RW
177610,Javi Martínez,Javier Martínez Aginaga,Spain,FC Bayern München,SUB
181458,I. Perišić,Ivan Perišić,Croatia,FC Bayern München,SUB
183907,J. Boateng,Jérôme Boateng,Germany,FC Bayern München,SUB
186942,I. Gündoğan,İlkay Gündoğan,Germany,Manchester City,SUB
188377,K. Walker,Kyle Walker,England,Manchester City,RB
200647,J. Iličić,Josip Iličić,Slovenia,Atalanta,RS
204485,R. Mahrez,Riyad Mahrez,Algeria,Manchester City,SUB
207863,Felipe,Felipe Augusto de Almeida Monteiro,Brazil,Atlético Madrid,LCB
219683,C. Tolisso,Corentin Tolisso,France,FC Bayern München,RCM
203574,J. Stones,John Stones,England,Manchester City,RCB
212188,T. Werner,Timo Werner,Germany,RB Leipzig,LS
213565,T. Lemar,Thomas Lemar,France,Atlético Madrid,LM
202166,J. Draxler,Julian Draxler,Germany,Paris Saint-Germain,SUB
201153,Morata,Álvaro Borja Morata Martín,Spain,Atlético Madrid,LS
198950,Pablo Sarabia,Pablo Sarabia García,Spain,Paris Saint-Germain,SUB
179844,Diego Costa,Diego da Silva Costa,Spain,Atlético Madrid,SUB
192366,N. Otamendi,Nicolás Hernán Otamendi,Argentina,Manchester City,SUB
193474,I. Gueye,Idrissa Gana Gueye,Senegal,Paris Saint-Germain,SUB
